,song_title,artists,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,url,song_and_artist,cluster
23,thunderstruck,AC/DC,57bgtoPSgt236HzfBOd8kj,0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52,292880,https://open.spotify.com/track/57bgtoPSgt236HzfBOd8kj,Thunderstruck - AC/DC,1
24,smells like teen spirit,Nirvana,1f3yAtsJtY87CTmM8RLnxf,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,301920,https://open.spotify.com/track/1f3yAtsJtY87CTmM8RLnxf,Smells Like Teen Spirit - Nirvana,3
25,imagine - remastered 2010,John Lennon,7pKfPomDEeI4TPT6EOYjn9,0.547,0.257,0,-12.358,1,0.0252,0.907,0.183,0.0935,0.169,75.752,187867,https://open.spotify.com/track/7pKfPomDEeI4TPT6EOYjn9,Imagine - Remastered 2010 - John Lennon,6
26,sultans of swing,Dire Straits,37Tmv4NnfQeb0ZgUC4fOJj,0.733,0.794,5,-10.023,1,0.0307,0.0614,0.0367,0.33,0.931,148.174,348624,https://open.spotify.com/track/37Tmv4NnfQeb0ZgUC4fOJj,Sultans Of Swing - Dire Straits,3
27,"shine on you crazy diamond, pts. 1-5 - 2011 remastered version",Pink Floyd,32dnKMni3I3gwUbWp4mi45,0.266,0.294,7,-11.938,0,0.0291,0.771,0.697,0.107,0.0397,137.941,811077,https://open.spotify.com/track/32dnKMni3I3gwUbWp4mi45,"Shine On You Crazy Diamond, Pts. 1-5 - 2011 Remastered Version - Pink Floyd",5
28,door de wind,Miss Montreal,3h7NZT1CATbn4GqUs51vwf,0.579,0.0945,3,-18.377,1,0.0396,0.705,4.27e-06,0.0817,0.353,123.994,170277,https://open.spotify.com/track/3h7NZT1CATbn4GqUs51vwf,Door De Wind - Miss Montreal,6
29,one,Metallica,5IX4TbIR5mMHGE4wiWwKW0,0.437,0.695,7,-9.447,1,0.0617,0.00111,0.0857,0.124,0.413,102.178,447440,https://open.spotify.com/track/5IX4TbIR5mMHGE4wiWwKW0,One - Metallica,1
30,papa,Stef Bos,6NP6BCW2M2I4vdcnXMAvjl,0.744,0.322,0,-13.004,1,0.0337,0.718,1.62e-06,0.0841,0.294,119.941,193093,https://open.spotify.com/track/6NP6BCW2M2I4vdcnXMAvjl,Papa - Stef Bos,6
31,just breathe,Pearl Jam,6i81qFkru6Kj1IEsB7KNp2,0.473,0.348,0,-11.1,1,0.0288,0.721,7.42e-05,0.0823,0.283,107.819,215853,https://open.spotify.com/track/6i81qFkru6Kj1IEsB7KNp2,Just Breathe - Pearl Jam,6
32,radar love,Golden Earring,5tU9JM1v72X7oM808Am6Fq,0.504,0.719,1,-9.155,0,0.0431,0.00878,0.00149,0.075,0.177,102.144,386707,https://open.spotify.com/track/5tU9JM1v72X7oM808Am6Fq,Radar Love - Golden Earring,1
33,paradise by the dashboard light,Meat Loaf,2g7gviEeJr6pyxO7G35EWQ,0.326,0.872,2,-7.602,1,0.122,0.214,0.0,0.461,0.492,173.381,508333,https://open.spotify.com/track/2g7gviEeJr6pyxO7G35EWQ,Paradise By the Dashboard Light - Meat Loaf,1
34,sweet child o' mine,Guns N' Roses,7o2CTH4ctstm8TNelqjb51,0.454,0.91,6,-7.766,1,0.0448,0.0866,0.0996,0.116,0.629,125.116,354520,https://open.spotify.com/track/7o2CTH4ctstm8TNelqjb51,Sweet Child O' Mine - Guns N' Roses,1
35,in the air tonight - 2015 remastered,Phil Collins,18AXbzPzBS8Y3AkgSxzJPb,0.446,0.239,0,-13.945,1,0.0316,0.551,4.1e-06,0.0697,0.298,189.507,336453,https://open.spotify.com/track/18AXbzPzBS8Y3AkgSxzJPb,In The Air Tonight - 2015 Remastered - Phil Collins,6
36,shallow,Lady Gaga,2VxeLyX666F8uXCJ0dZF8B,0.572,0.385,7,-6.362,1,0.0308,0.371,0.0,0.231,0.323,95.799,215733,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,Shallow - Lady Gaga,6
37,over de muur,Klein Orkest,5rAG0XusRfyLrzYV7A7lBL,0.612,0.321,0,-15.231,1,0.0506,0.629,1.05e-05,0.144,0.287,95.977,209493,https://open.spotify.com/track/5rAG0XusRfyLrzYV7A7lBL,Over De Muur - Klein Orkest,6
38,a forest,The Cure,4iVTSRiJAA18d3QglhyJ6Q,0.587,0.493,0,-14.927,1,0.0505,0.423,0.712,0.0909,0.451,161.222,354640,https://open.spotify.com/track/4iVTSRiJAA18d3QglhyJ6Q,A Forest - The Cure,5
39,hurt,Johnny Cash,28cnXtME493VX9NOw9cIUh,0.534,0.392,9,-7.636,0,0.0267,0.649,0.000227,0.0948,0.163,90.379,216533,https://open.spotify.com/track/28cnXtME493VX9NOw9cIUh,Hurt - Johnny Cash,6
40,go your own way - 2004 remaster,Fleetwood Mac,07GvNcU1WdyZJq3XxP0kZa,0.583,0.947,5,-5.12,1,0.0378,0.0185,0.00109,0.0679,0.803,135.448,223613,https://open.spotify.com/track/07GvNcU1WdyZJq3XxP0kZa,Go Your Own Way - 2004 Remaster - Fleetwood Mac,3
41,telegraph road,Dire Straits,0Bg100ruK1ZD7H96rNo6fR,0.381,0.59,2,-10.108,0,0.0321,0.0152,0.464,0.169,0.282,123.272,858133,https://open.spotify.com/track/0Bg100ruK1ZD7H96rNo6fR,Telegraph Road - Dire Straits,5
42,viva la vida,Coldplay,3Fcfwhm8oRrBvBZ8KGhtea,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,242373,https://open.spotify.com/track/3Fcfwhm8oRrBvBZ8KGhtea,Viva La Vida - Coldplay,1
43,"paint it, black",The Rolling Stones,63T7DJ1AFDD6Bn8VzG6JE8,0.464,0.795,1,-9.267,1,0.0926,0.0493,0.00244,0.399,0.612,158.691,202267,https://open.spotify.com/track/63T7DJ1AFDD6Bn8VzG6JE8,"Paint It, Black - The Rolling Stones",1
44,school,Supertramp,6fnachl7fIn5dqIjakfJ57,0.366,0.468,4,-14.514,0,0.0826,0.537,0.0283,0.0664,0.0506,90.281,335286,https://open.spotify.com/track/6fnachl7fIn5dqIjakfJ57,School - Supertramp,6
45,innuendo - remastered 2011,Queen,0BzhS74ByIVlyz8BedHaYi,0.346,0.728,1,-5.747,1,0.0451,0.187,0.00379,0.344,0.174,74.939,393027,https://open.spotify.com/track/0BzhS74ByIVlyz8BedHaYi,Innuendo - Remastered 2011 - Queen,1
46,het dorp,Wim Sonneveld,3q0a21nZ31rOAk5p3UQaRG,0.368,0.32,7,-16.267,1,0.0437,0.752,0.000351,0.103,0.462,111.762,194400,https://open.spotify.com/track/3q0a21nZ31rOAk5p3UQaRG,Het Dorp - Wim Sonneveld,6
47,bridge over troubled water,Simon & Garfunkel,6l8EbYRtQMgKOyc1gcDHF9,0.149,0.206,3,-13.888,1,0.0323,0.822,0.000649,0.115,0.264,79.764,293120,https://open.spotify.com/track/6l8EbYRtQMgKOyc1gcDHF9,Bridge Over Troubled Water - Simon & Garfunkel,6
48,in the end,Linkin Park,60a0Rd6pjrkxjPbaKzXjfq,0.556,0.864,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143,216880,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq,In the End - Linkin Park,0
49,let it be - remastered 2009,The Beatles,7iN1s7xHE4ifF5povM6A48,0.443,0.403,0,-8.339,1,0.0322,0.631,0.0,0.111,0.41,143.462,243027,https://open.spotify.com/track/7iN1s7xHE4ifF5povM6A48,Let It Be - Remastered 2009 - The Beatles,6
50,killing in the name,Rage Against The Machine,59WN2psjkt1tyaxjspN8fp,0.466,0.833,7,-4.215,1,0.304,0.0266,0.0,0.0327,0.661,88.785,313573,https://open.spotify.com/track/59WN2psjkt1tyaxjspN8fp,Killing In The Name - Rage Against The Machine,2
51,sunday bloody sunday - remastered 2008,U2,6C4LXC9UFH1IKiHYOp0BiJ,0.543,0.944,6,-7.495,1,0.0543,0.402,0.000564,0.0373,0.735,101.174,279440,https://open.spotify.com/track/6C4LXC9UFH1IKiHYOp0BiJ,Sunday Bloody Sunday - Remastered 2008 - U2,3
52,with or without you - remastered,U2,6ADSaE87h8Y3lccZlBJdXH,0.54,0.429,2,-11.822,1,0.0285,0.000202,0.355,0.141,0.113,110.171,295516,https://open.spotify.com/track/6ADSaE87h8Y3lccZlBJdXH,With Or Without You - Remastered - U2,5
53,mag ik dan bij jou,Claudia De Breij,4erVCd7Ax8SEPRUvXRdRg4,0.543,0.289,0,-9.507,1,0.0343,0.97,0.00692,0.708,0.194,131.697,206130,https://open.spotify.com/track/4erVCd7Ax8SEPRUvXRdRg4,Mag Ik Dan Bij Jou - Claudia De Breij,6
54,don't stop me now - remastered 2011,Queen,5T8EDUDqKcs6OSOwEsfqG7,0.559,0.868,5,-5.276,1,0.17,0.0475,0.000176,0.776,0.609,156.295,209413,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7,Don't Stop Me Now - Remastered 2011 - Queen,4
55,dancing queen,ABBA,0GjEhVFGZW8afUYGChu3Rr,0.543,0.87,9,-6.514,1,0.0428,0.358,0.000939,0.792,0.754,100.804,230400,https://open.spotify.com/track/0GjEhVFGZW8afUYGChu3Rr,Dancing Queen - ABBA,4
56,alive,Pearl Jam,1L94M3KIu7QluZe63g64rv,0.284,0.875,11,-6.069,0,0.0422,0.00752,0.000461,0.402,0.595,75.009,340907,https://open.spotify.com/track/1L94M3KIu7QluZe63g64rv,Alive - Pearl Jam,4
57,back to black,Amy Winehouse,30FURVTCpbKyykjSEQzGkH,0.49,0.725,10,-3.304,1,0.0392,0.123,2.68e-05,0.0983,0.335,123.28,240440,https://open.spotify.com/track/30FURVTCpbKyykjSEQzGkH,Back To Black - Amy Winehouse,1
58,under pressure,Queen,5oidljiMjeJTWUGZ4TfFea,0.678,0.643,2,-9.316,1,0.0444,0.24,0.0,0.0708,0.534,113.46,237520,https://open.spotify.com/track/5oidljiMjeJTWUGZ4TfFea,Under Pressure - Queen,3
59,"somebody to love - live at the freddie mercury tribute concert for aids awareness, wembley / 1992",Queen,3g8OM1tEhwNQqsXDHhVbQQ,0.423,0.888,7,-6.126,1,0.0472,0.049,0.0,0.978,0.419,109.18,307360,https://open.spotify.com/track/3g8OM1tEhwNQqsXDHhVbQQ,"Somebody To Love - Live At The Freddie Mercury Tribute Concert For AIDS Awareness, Wembley / 1992 - Queen",4
60,the scientist,Coldplay,75JFxkI2RXiU7L9VXzMkle,0.557,0.442,5,-7.224,1,0.0243,0.731,1.46e-05,0.11,0.213,146.277,309600,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,The Scientist - Coldplay,6
61,creep,Radiohead,70LcF31zb1H0PyJoS1Sx1r,0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,238640,https://open.spotify.com/track/70LcF31zb1H0PyJoS1Sx1r,Creep - Radiohead,6
62,god only knows - remastered 1997 / mono,The Beach Boys,6iGU74CwXuT4XVepjc9Emf,0.521,0.487,6,-7.525,0,0.0299,0.253,0.0,0.0579,0.483,117.072,173040,https://open.spotify.com/track/6iGU74CwXuT4XVepjc9Emf,God Only Knows - Remastered 1997 / Mono - The Beach Boys,0
63,jolene,Dolly Parton,2SpEHTbUuebeLkgs9QB7Ue,0.674,0.537,1,-10.971,0,0.0363,0.566,0.0,0.131,0.809,110.578,161533,https://open.spotify.com/track/2SpEHTbUuebeLkgs9QB7Ue,Jolene - Dolly Parton,0
64,cold little heart,Michael Kiwanuka,0qprlw0jfsW4H9cG0FFE0Z,0.489,0.404,8,-7.815,1,0.0261,0.487,0.0485,0.14,0.153,108.01,597600,https://open.spotify.com/track/0qprlw0jfsW4H9cG0FFE0Z,Cold Little Heart - Michael Kiwanuka,6
65,sympathy for the devil,The Rolling Stones,75zMKn5euxQdlkZgu4P42J,0.728,0.681,9,-10.943,1,0.221,0.61,0.0,0.0559,0.578,115.944,376800,https://open.spotify.com/track/75zMKn5euxQdlkZgu4P42J,Sympathy For The Devil - The Rolling Stones,2
66,one,U2,3G69vJMWsX6ZohTykad2AU,0.392,0.534,0,-8.793,1,0.0369,0.245,0.00104,0.155,0.325,181.305,276187,https://open.spotify.com/track/3G69vJMWsX6ZohTykad2AU,One - U2,1
67,enter sandman,Metallica,5sICkBXVmaCQk5aISGR3x1,0.577,0.828,6,-8.691,0,0.0298,0.00213,0.0114,0.0581,0.604,123.257,331267,https://open.spotify.com/track/5sICkBXVmaCQk5aISGR3x1,Enter Sandman - Metallica,0
68,brabant,Guus Meeuwis,0GiWi4EkPduFWHQyhiKpRB,0.407,0.466,7,-7.054,1,0.0311,0.561,0.00894,0.103,0.387,81.568,210173,https://open.spotify.com/track/0GiWi4EkPduFWHQyhiKpRB,Brabant - Guus Meeuwis,6
69,somebody to love - remastered 2011,Queen,4rDbp1vnvEhieiccprPMdI,0.406,0.698,8,-7.024,1,0.0624,0.186,0.0,0.233,0.333,109.266,296480,https://open.spotify.com/track/4rDbp1vnvEhieiccprPMdI,Somebody To Love - Remastered 2011 - Queen,1
70,zoutelande (feat. geike),BLØF,0le8EcVp4x1JjMhwRKIOVi,0.67,0.643,6,-7.198,0,0.0286,0.221,1.58e-05,0.142,0.893,129.013,223267,https://open.spotify.com/track/0le8EcVp4x1JjMhwRKIOVi,Zoutelande (feat. Geike) - BLØF,0
71,mr. blue sky,Electric Light Orchestra,2RlgNHKcydI9sayD2Df2xp,0.388,0.338,10,-10.054,1,0.0329,0.652,3.73e-06,0.248,0.478,177.765,303373,https://open.spotify.com/track/2RlgNHKcydI9sayD2Df2xp,Mr. Blue Sky - Electric Light Orchestra,6
72,pastorale,Liesbeth List,50a6StrR0wfLLYKqBl1mvg,0.483,0.392,2,-14.33,1,0.0285,0.498,0.0,0.389,0.395,111.794,256187,https://open.spotify.com/track/50a6StrR0wfLLYKqBl1mvg,Pastorale - Liesbeth List,6
73,lose yourself,Eminem,7MJQ9Nfxzh8LPZ9e9u68Fq,0.689,0.735,2,-4.545,1,0.267,0.00922,0.00072,0.365,0.059,171.403,320627,https://open.spotify.com/track/7MJQ9Nfxzh8LPZ9e9u68Fq,Lose Yourself - Eminem,2
74,fool's overture,Supertramp,5pSSEkT0963muzzIjsVkrs,0.406,0.306,3,-10.482,1,0.0372,0.313,0.0079,0.0727,0.073,135.272,652560,https://open.spotify.com/track/5pSSEkT0963muzzIjsVkrs,Fool's Overture - Supertramp,6
75,sorry,Kensington,07uuo1yEND3oinbFZnYOvx,0.461,0.409,4,-8.479,0,0.0315,0.502,0.0,0.0979,0.0895,133.956,227440,https://open.spotify.com/track/07uuo1yEND3oinbFZnYOvx,Sorry - Kensington,6
76,"another brick in the wall, pt. 2 - 2011 remastered version",Pink Floyd,7rPzEczIS574IgPaiPieS3,0.694,0.394,0,-15.881,1,0.0428,0.0781,0.000677,0.247,0.719,104.126,238747,https://open.spotify.com/track/7rPzEczIS574IgPaiPieS3,"Another Brick In The Wall, Pt. 2 - 2011 Remastered Version - Pink Floyd",6
77,highway to hell,AC/DC,2zYzyRzz6pRmhPzyfMEC8s,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,208400,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell - AC/DC,0
78,angie,The Rolling Stones,1GcVa4jFySlun4jLSuMhiq,0.429,0.554,9,-6.128,0,0.0291,0.67,0.000152,0.105,0.407,136.302,272000,https://open.spotify.com/track/1GcVa4jFySlun4jLSuMhiq,Angie - The Rolling Stones,6
79,under the bridge,Red Hot Chili Peppers,3d9DChrdc6BOeFsbrZ3Is0,0.559,0.345,4,-13.496,1,0.0459,0.0576,0.000105,0.141,0.458,84.581,264307,https://open.spotify.com/track/3d9DChrdc6BOeFsbrZ3Is0,Under the Bridge - Red Hot Chili Peppers,6
80,riders on the storm,The Doors,14XWXWv5FoCbFzLksawpEe,0.55,0.722,11,-11.729,0,0.0283,0.25,0.0129,0.11,0.716,103.886,434720,https://open.spotify.com/track/14XWXWv5FoCbFzLksawpEe,Riders on the Storm - The Doors,0
81,angels,Robbie Williams,1M2nd8jNUkkwrc1dgBPTJz,0.429,0.594,4,-6.251,1,0.0277,0.156,4.95e-06,0.1,0.236,150.22,265000,https://open.spotify.com/track/1M2nd8jNUkkwrc1dgBPTJz,Angels - Robbie Williams,1
82,here comes the sun - remastered 2009,The Beatles,6dGnYIeXmHdcikdzNNDMm2,0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171,185733,https://open.spotify.com/track/6dGnYIeXmHdcikdzNNDMm2,Here Comes The Sun - Remastered 2009 - The Beatles,1
83,old and wise,The Alan Parsons Project,5Jt2AQv1c3RUF5ENtAYF1i,0.375,0.317,0,-11.741,0,0.0315,0.727,2.92e-05,0.123,0.12,112.003,295253,https://open.spotify.com/track/5Jt2AQv1c3RUF5ENtAYF1i,Old and Wise - The Alan Parsons Project,6
84,who wants to live forever - remastered 2011,Queen,3SGP8It5WDnCONyApJKRTJ,0.182,0.388,4,-8.672,0,0.0324,0.544,0.00134,0.114,0.0392,139.276,295333,https://open.spotify.com/track/3SGP8It5WDnCONyApJKRTJ,Who Wants To Live Forever - Remastered 2011 - Queen,6
85,iron sky,Paolo Nutini,2bcC9Xyi40wnI7Od5uch31,0.387,0.626,1,-7.134,0,0.0344,0.242,0.0012,0.11,0.316,139.724,373133,https://open.spotify.com/track/2bcC9Xyi40wnI7Od5uch31,Iron Sky - Paolo Nutini,1
86,uncharted,Kensington,5GDUiXsNbBBcHQ5B7z0z3G,0.594,0.527,10,-6.805,1,0.0308,0.14,0.0,0.294,0.226,138.956,241480,https://open.spotify.com/track/5GDUiXsNbBBcHQ5B7z0z3G,Uncharted - Kensington,1
87,master of puppets,Metallica,2MuWTIM3b0YEAskbeeFE1i,0.543,0.836,4,-9.11,0,0.0353,0.000647,0.431,0.153,0.56,105.173,515387,https://open.spotify.com/track/2MuWTIM3b0YEAskbeeFE1i,Master Of Puppets - Metallica,5
88,the show must go on - remastered 2011,Queen,5n6RDaGFSN88oRWuGtYAIN,0.426,0.687,11,-6.926,0,0.0329,0.409,0.0,0.112,0.189,84.141,277827,https://open.spotify.com/track/5n6RDaGFSN88oRWuGtYAIN,The Show Must Go On - Remastered 2011 - Queen,0
89,(sittin' on) the dock of the bay,Otis Redding,3zBhihYUHBmGd2bcQIobrF,0.769,0.367,2,-11.226,1,0.0312,0.684,1.62e-05,0.081,0.535,103.621,163756,https://open.spotify.com/track/3zBhihYUHBmGd2bcQIobrF,(Sittin' On) the Dock of the Bay - Otis Redding,6
90,whole lotta rosie,AC/DC,4wYq5wugZDzQiMZQYG4wVB,0.292,0.838,9,-4.459,1,0.078,0.0014,0.479,0.0953,0.423,159.176,333800,https://open.spotify.com/track/4wYq5wugZDzQiMZQYG4wVB,Whole Lotta Rosie - AC/DC,5
91,hey jude,The Beatles,1eT2CjXwFXNx6oY5ydvzKU,0.462,0.632,5,-7.438,1,0.0248,0.091,0.0,0.397,0.585,74.268,238854,https://open.spotify.com/track/1eT2CjXwFXNx6oY5ydvzKU,Hey Jude - The Beatles,4
92,uprising,Muse,4VqPOruhp5EdPBeR92t6lQ,0.602,0.905,2,-4.046,1,0.0775,0.000202,0.064,0.117,0.411,128.019,304840,https://open.spotify.com/track/4VqPOruhp5EdPBeR92t6lQ,Uprising - Muse,1
93,chasing cars,Snow Patrol,5hnyJvgoWiQUYZttV4wXy6,0.56,0.595,9,-4.53,1,0.0274,0.199,6.47e-05,0.132,0.144,104.011,267960,https://open.spotify.com/track/5hnyJvgoWiQUYZttV4wXy6,Chasing Cars - Snow Patrol,1
94,private investigations,Dire Straits,5KVak7r5YKcnkmARc0hy0Q,0.356,0.0967,9,-20.084,1,0.0315,0.696,0.691,0.0801,0.067,84.486,405893,https://open.spotify.com/track/5KVak7r5YKcnkmARc0hy0Q,Private Investigations - Dire Straits,5
95,clocks,Coldplay,0BCPKOYdS2jbQ8iyB56Zns,0.577,0.749,5,-7.215,0,0.0279,0.599,0.0115,0.183,0.255,130.97,307880,https://open.spotify.com/track/0BCPKOYdS2jbQ8iyB56Zns,Clocks - Coldplay,0
96,laat me,Ramses Shaffy,6XzBlaRUFcps7zkKgZWh7E,0.337,0.331,1,-14.199,0,0.0342,0.645,0.0752,0.153,0.35,101.643,305253,https://open.spotify.com/track/6XzBlaRUFcps7zkKgZWh7E,Laat Me - Ramses Shaffy,6
97,blinding lights,The Weeknd,0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights - The Weeknd,1
98,where the streets have no name - remastered,U2,4qgZs0RNjdzKAS22lP0QjY,0.49,0.724,2,-9.581,1,0.0366,0.00976,0.0046,0.159,0.292,125.812,337506,https://open.spotify.com/track/4qgZs0RNjdzKAS22lP0QjY,Where The Streets Have No Name - Remastered - U2,1
99,gimme shelter,The Rolling Stones,6H3kDe7CGoWYBabAeVWGiD,0.634,0.63,1,-8.277,0,0.031,0.447,0.039,0.17,0.489,118.628,270773,https://open.spotify.com/track/6H3kDe7CGoWYBabAeVWGiD,Gimme Shelter - The Rolling Stones,0
